date,start_hour,end_hour,price_euros_mwh,volume_mwh
2018-01-01,00:00,01:00,6.74,23012.5
2018-01-01,01:00,02:00,4.74,24971.6
2018-01-01,02:00,03:00,3.66,25130.8
2018-01-01,03:00,04:00,1.26,22324.4
2018-01-01,04:00,05:00,-20.1,22617.6
2018-01-01,05:00,06:00,-31.82,22155.7
2018-01-01,06:00,07:00,-28.66,21611.7
2018-01-01,07:00,08:00,-13.71,20921.3
2018-01-01,08:00,09:00,-4.14,21143.5
2018-01-01,09:00,10:00,2.03,21531.1
2018-01-01,10:00,11:00,-15.51,21949.3
2018-01-01,11:00,12:00,-0.42,23071.6
2018-01-01,12:00,13:00,2.3,25127.5
2018-01-01,13:00,14:00,2.3,25235.5
2018-01-01,14:00,15:00,5,21977.1
2018-01-01,15:00,16:00,8.56,21328.5
2018-01-01,16:00,17:00,9.42,21106.3
2018-01-01,17:00,18:00,12.46,19676.2
2018-01-01,18:00,19:00,15.93,18758
2018-01-01,19:00,20:00,22.02,18693.9
2018-01-01,20:00,21:00,20,19532.7
2018-01-01,21:00,22:00,21.95,19524.4
2018-01-01,22:00,23:00,23.52,18958.3
2018-01-01,23:00,00:00,16.35,18764.9
2018-01-02,00:00,01:00,14.43,18447.5
2018-01-02,01:00,02:00,10.26,18575.9
2018-01-02,02:00,03:00,7.48,18288
2018-01-02,03:00,04:00,4.52,18117.1
2018-01-02,04:00,05:00,4.24,17593.6
2018-01-02,05:00,06:00,8.36,16118.4
2018-01-02,06:00,07:00,22.58,14578.7
2018-01-02,07:00,08:00,41.92,13716.3
2018-01-02,08:00,09:00,47.95,14898
2018-01-02,09:00,10:00,49.9,15123.2
2018-01-02,10:00,11:00,50,14927.8
2018-01-02,11:00,12:00,49.7,14924.1
2018-01-02,12:00,13:00,48.16,15321.2
2018-01-02,13:00,14:00,47.24,15707.4
2018-01-02,14:00,15:00,46.1,17256.9
2018-01-02,15:00,16:00,43.86,19032.9
2018-01-02,16:00,17:00,43.64,20324.9
2018-01-02,17:00,18:00,47.37,19295.9
2018-01-02,18:00,19:00,46.08,17973.9
2018-01-02,19:00,20:00,41.08,18393.8
2018-01-02,20:00,21:00,34.94,17178.8
2018-01-02,21:00,22:00,25.46,17859.9
2018-01-02,22:00,23:00,23.25,17379
2018-01-02,23:00,00:00,15.49,17902.9
2018-01-03,00:00,01:00,12.14,18913.1
2018-01-03,01:00,02:00,5.48,19485.3
2018-01-03,02:00,03:00,5,19690.1
2018-01-03,03:00,04:00,0.99,20041.2
2018-01-03,04:00,05:00,-0.25,19728.1
2018-01-03,05:00,06:00,3.87,19460.8
2018-01-03,06:00,07:00,12.25,18333.3
2018-01-03,07:00,08:00,19.42,17819.6
2018-01-03,08:00,09:00,22.57,19061
2018-01-03,09:00,10:00,22.37,19351.6
2018-01-03,10:00,11:00,18.65,19941.2
2018-01-03,11:00,12:00,19.35,20252
2018-01-03,12:00,13:00,18.93,20662.9
2018-01-03,13:00,14:00,17.26,20979.1
2018-01-03,14:00,15:00,16.76,20689
2018-01-03,15:00,16:00,18.09,20286.5
2018-01-03,16:00,17:00,19.51,19661.2
2018-01-03,17:00,18:00,24.13,18646.8
2018-01-03,18:00,19:00,36.67,18003
2018-01-03,19:00,20:00,26.27,18143
2018-01-03,20:00,21:00,26.06,17488.1
2018-01-03,21:00,22:00,19.88,17501.2
2018-01-03,22:00,23:00,17.26,16981.4
2018-01-03,23:00,00:00,13.87,17104.1
2018-01-04,00:00,01:00,11.76,13780.4
2018-01-04,01:00,02:00,3.46,14084.6
2018-01-04,02:00,03:00,2.11,14041.7
2018-01-04,03:00,04:00,2.63,14157.2
2018-01-04,04:00,05:00,4.99,14007
2018-01-04,05:00,06:00,11.08,13349.2
2018-01-04,06:00,07:00,22.34,14381.7
2018-01-04,07:00,08:00,33.59,15716.8
2018-01-04,08:00,09:00,40.45,16145.6
2018-01-04,09:00,10:00,41.97,17296.3
2018-01-04,10:00,11:00,44.91,17862.8
2018-01-04,11:00,12:00,47.14,18582.9
2018-01-04,12:00,13:00,46.04,18554.9
2018-01-04,13:00,14:00,34.36,19657.7
2018-01-04,14:00,15:00,32.51,19805.8
2018-01-04,15:00,16:00,32.77,20173.4
2018-01-04,16:00,17:00,33.81,19596.8
2018-01-04,17:00,18:00,50.08,17509.2
2018-01-04,18:00,19:00,49.96,16338.1
2018-01-04,19:00,20:00,46.73,15598.1
2018-01-04,20:00,21:00,41.57,14911.5
2018-01-04,21:00,22:00,37.09,13604.3
2018-01-04,22:00,23:00,33.92,12268.6
2018-01-04,23:00,00:00,31.5,11463.8
2018-01-05,00:00,01:00,16.67,13284.7
2018-01-05,01:00,02:00,11.73,13732.9
2018-01-05,02:00,03:00,6.86,14115
2018-01-05,03:00,04:00,0.55,14747.5
2018-01-05,04:00,05:00,2.45,14702.7
2018-01-05,05:00,06:00,13.51,14063.9
2018-01-05,06:00,07:00,23.96,13828.1
2018-01-05,07:00,08:00,33.39,15367.6
2018-01-05,08:00,09:00,37.79,14180.5
2018-01-05,09:00,10:00,36.93,15444.6
2018-01-05,10:00,11:00,39.11,15047.1
2018-01-05,11:00,12:00,39.4,15724.9
2018-01-05,12:00,13:00,41.69,13938.8
2018-01-05,13:00,14:00,47,13076.6
2018-01-05,14:00,15:00,44.08,12810
2018-01-05,15:00,16:00,47.1,13656.2
2018-01-05,16:00,17:00,47.77,13933.1
2018-01-05,17:00,18:00,56.35,14240.7
2018-01-05,18:00,19:00,57.42,13067
